VAULNAVEYS-LE-HAUT,5.824835,45.132923,Secousse Sismique
CLAIX,5.694594,45.124035,Mouvement de Terrain
VIZILLE,5.777964,45.052926,Glissement de Terrain
SAINT-PIERRE-DE-MESAGE,5.777964,45.052926,Secousse Sismique
VIZILLE,5.777964,45.052926,Secousse Sismique
VIZILLE,5.788199,45.081928,Glissement de Terrain
VIZILLE,5.788199,45.081928,Secousse Sismique
VIZILLE,5.77123,45.082707,Glissement de Terrain
VIZILLE,5.77123,45.082707,Secousse Sismique
VIZILLE,5.771611,45.076758,Glissement de Terrain
VIZILLE,5.771611,45.076758,Secousse Sismique
NOTRE-DAME-DE-MESAGE,5.771611,45.076758,Secousse Sismique
VIZILLE,5.772267,45.074736,Glissement de Terrain
VIZILLE,5.772267,45.074736,Secousse Sismique
VIZILLE,5.773882,45.079235,Glissement de Terrain
VIZILLE,5.773882,45.079235,Secousse Sismique
VIZILLE,5.775628,45.076314,Glissement de Terrain
VIZILLE,5.775628,45.076314,Secousse Sismique
VIZILLE,5.762689,45.084432,Glissement de Terrain
VIZILLE,5.762689,45.084432,Secousse Sismique
NOTRE-DAME-DE-MESAGE,5.762689,45.084432,Secousse Sismique
LA TRONCHE,5.754326,45.219499,Mouvement de Terrain
LA TRONCHE,5.752809,45.222725,Mouvement de Terrain
LA TRONCHE,5.752256,45.21142,Mouvement de Terrain
LA TRONCHE,5.753704,45.216575,Mouvement de Terrain
VENON,5.799947,45.18337,Mouvement de Terrain
CLAIX,5.685851,45.107278,Mouvement de Terrain
VARCES-ALLIERES-ET-RISSET,5.685851,45.107278,Mouvement de Terrain
VENON,5.790421,45.179648,Mouvement de Terrain
VENON,5.801635,45.185188,Mouvement de Terrain
VENON,5.793594,45.180995,Mouvement de Terrain
VENON,5.794134,45.182702,Mouvement de Terrain
VENON,5.791377,45.181145,Mouvement de Terrain
LA TRONCHE,5.746585,45.197363,Mouvement de Terrain
LA TRONCHE,5.739008,45.210074,Mouvement de Terrain
LA TRONCHE,5.744014,45.204909,Mouvement de Terrain
LA TRONCHE,5.750392,45.217919,Mouvement de Terrain
LA TRONCHE,5.744199,45.213633,Mouvement de Terrain
LA TRONCHE,5.747559,45.213772,Mouvement de Terrain
LA TRONCHE,5.738252,45.204859,Mouvement de Terrain
LA TRONCHE,5.750208,45.199641,Mouvement de Terrain
LA TRONCHE,5.751987,45.197164,Mouvement de Terrain
LA TRONCHE,5.743259,45.211548,Mouvement de Terrain
LA TRONCHE,5.745798,45.212123,Mouvement de Terrain
LA TRONCHE,5.746917,45.209607,Mouvement de Terrain
LA TRONCHE,5.744207,45.197012,Mouvement de Terrain
LA TRONCHE,5.736974,45.203865,Mouvement de Terrain
LE GUA,5.65123,45.027893,Mouvement de Terrain
VENON,5.811224,45.187689,Mouvement de Terrain
LA TRONCHE,5.754561,45.188696,Mouvement de Terrain
