id,geo_point_2d,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude
171,"45.19798,5.68864",Nord-Ouest,Fontaine,,54 Rue Jean Pain / Rue Jules Guesde (côté arrêt de bus),,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.688635,45.197979
164,"45.19626,5.67688",Nord-Ouest,Fontaine,,61 Rue Joseph Bertoin,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.676879,45.196259
195,"45.19566,5.69418",Nord-Ouest,Fontaine,,85 Boulevard Joliot Curie (ancienne station essence) / Commerces Résidence du Verger,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.694183,45.195665
190,"45.19214,5.68879",Nord-Ouest,Fontaine,,99-103 Avenue du Vercors / square derrière mairie,,VER,verre,CA,aérien,2.5,Quadria,Linéance,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.688793,45.192141
192,"45.1901,5.69123",Nord-Ouest,Fontaine,,Avenue Aristide Briand (face au n°65) / Rue Yves Farge,,VER,verre,CA,aérien,3.0,Quadria,Linéance,quadria 3m3 Crochet V2060A,,Prestataire,Lely,HS,Citec_Cyclea_2.5_A_c,,,,2019-04-30,5.691228,45.190098
1200,"45.0866,5.77024",Grand-Sud,Vizille,,Camping Le Bois de Cornage / 110 Chemin du Camping,,VER,verre,CA,aérien,4.0,SNNECO,Eco-Bois,,,Prestataire,Lely,Bon,SNNECO_Eco-Bois_4_A_k,,,,,5.770236,45.086601
921,"45.08881,5.67888",Grand-Sud,Varces Allières et Risset,,10 Rue Gabriel Péri / Rue du Portail Rouge,,VER,verre,CA,aérien,3.0,Citec,Cyclea,Citec_Cyclea_3_A_c,,Prestataire,Lely,Bon,Citec_Islea_4_A_c,,,,2018-08-02,5.678875,45.088808
1313,"45.20452,5.68618",Nord-Ouest,Fontaine,,CTE Nord-Ouest / 12 rue Baptiste Marcet,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,,,2019-01-17,Nouveau site de collecte,,5.686182,45.204524
196,"45.19231,5.69527",Nord-Ouest,Fontaine,,39 Avenue du Vercors (face aux n° 48 et 50) / MJC Nelson Mandela,,VER,verre,CA,aérien,2.5,Quadria,Linéance,,,Prestataire,Lely,Très bon,Citec_Cyclea_2.5_A_c,,,,,5.695271,45.192306
172,"45.19725,5.68518",Nord-Ouest,Fontaine,,2-3 Rue du Grand Veymont,,VER,verre,CA,aérien,4.0,Quadria,Linéance,,,Prestataire,Lely,Bon,UTPM_PV400_4_A_c,,,,,5.685177,45.197247
206,"45.18539,5.68578",Nord-Ouest,Fontaine,,Déchèterie / 6 rue René Camphin / ZI des Vouillants,,VER,verre,CA,aérien,4.0,Citec,Cyclea,,,Prestataire,Lely,Usé,Citec_Cyclea_4_A_c,,,,2011-02-01,5.685778,45.185386
960,"45.1958,5.69047",Nord-Ouest,Fontaine,,Mail Marcel Cachin / Rue Yves Farges (face Square la Palombière),,VER,verre,CE,enterré,4.0,Citec,Evolution S,Type G4 BAMMENS,,Prestataire,Lely,Bon,Citec_Evolution S_4_E_k,,,,,5.690475,45.195799
1032,"45.19418,5.67203",Nord-Ouest,Fontaine,,Parc de La Poya (dans le parc - allée centrale) / 16 Rue Abbé Vincent,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.672028,45.194177
166,"45.19744,5.67221",Nord-Ouest,Fontaine,,Parking Géant (côté terminus tram) / 120 boulevard Paul Langevin,,VER,verre,CA,aérien,4.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_4_A_c,,,,janvier 2011,5.672211,45.197435
162,"45.1851,5.68876",Nord-Ouest,Fontaine,,Parking RIE (Restaurant Inter Entreprises) / Allée des Balmes (passage sous Boulvard Paul Langevin) / Rue René Camphin / Face Parc Karl Marx,,VER,verre,CA,aérien,4.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_4_A_c,,,,juillet 2011,5.688762,45.185098
205,"45.1911,5.69931",Nord-Ouest,Fontaine,,Rue de la Liberté / Rue François Janolin / Ecole Pont du Drac,,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,,,,5.699308,45.191095
169,"45.2,5.68144",Nord-Ouest,Fontaine,,Rue de Sassenage / Rue Suzanne Valadon,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.681436,45.199999
191,"45.19094,5.69013",Nord-Ouest,Fontaine,,Rue des Marronniers / Rue de la Liberté,,VER,verre,CA,aérien,4.0,Citec,,,,Prestataire,Lely,Bon,Citec__4_A_c,,,,,5.690134,45.190939
170,"45.19958,5.68378",Nord-Ouest,Fontaine,,Rue François Marceau (Square) / Rue des Buissonnées / Rue Joseph Bertoin,,VER,verre,CA,aérien,4.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_4_A_c,,,,,5.68378,45.19958
203,"45.18967,5.69002",Nord-Ouest,Fontaine,,Rue Paul Eluard (face au n° 19) / Rue de la Robertière,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.690025,45.189667
5431,"45.1649,5.73146",Sud,Grenoble,6,42 Galerie de l'Arlequin,Villeneuve,OMR,ordures ménagères résiduelles,CE,enterré,5.0,Plastic Omnium,Minimax 4,,double tambour,Régie,Métro,Bon,,,2018-09-17,!!! 2018 !!!,,5.731459,45.164897
